id_engcit,codgeo,libgeo,echelon,dispositif,periode,ingredients,url
ai-17,59009,Villeneuve-d'Ascq,commune,AI,2023,,
ai-27,11339,Saint-Denis,commune,AI,2023,,
ai-33,200035814,CA Flers Agglo,epci,AI,2023,,
ai-34,42168,Pélussin,commune,AI,2023,,
ai-41,93039,L'Île-Saint-Denis,commune,AI,2023,,
ai-43,84137,Vaison-la-Romaine,commune,AI,2023,,
ai-44,200070712,CC Thiers Dore et Montagne,epci,AI,2023,,
ai-46,74112,Epagny Metz-Tessy,commune,AI,2023,,
,,,,,,,
ai-48,47130,Lagruère,commune,AI,2023,,
ai-49,74240,Saint-Jean-de-Tholome,commune,AI,2023,,
ai-50,2B301,San-Gavino-di-Tenda,commune,AI,2023,,
ai-51,74283,Thusy,commune,AI,2023,,
ai-55,245400262,Grand Longwy Agglomération,epci,AI,2023,,
ai-56,200049211,CC Conflent-Canigó,epci,AI,2023,,
ai-57,200034882,CC Pays du Mont-Blanc,epci,AI,2023,,
,,,,,,,
ai-59,78311,Houilles,commune,AI,2023,,
ai-60,83126,La Seyne-sur-Mer,commune,AI,2023,,
ai-61,74160,Manigod,commune,AI,2023,,
ai-63,61006,Argentan,commune,AI,2023,,
ai-64,35055,Chantepie,commune,AI,2023,,
ai-65,74307,Villy-le-Pelloux,commune,AI,2023,,
ai-66,77118,Claye-Souilly,commune,AI,2024,,
ai-67,69091,Givors,commune,AI,2024,,
ai-68,68112,Guebwiller,commune,AI,2024,Droits culturels,
ai-69,33318,Pessac,commune,AI,2024,Droits culturels,
ai-70,243301454,CC Castillon/Pujols,epci,AI,2024,Place des jeunes et des adolescents,
ai-71,200042463,CC de la Montagne Noire,epci,AI,2024,Place des jeunes et des adolescents,
ai-72,200070803,CC des Coteaux du Val d'Arros,epci,AI,2024,Place des jeunes et des adolescents,
ai-73,243200458,CC du Grand Armagnac,epci,AI,2024,Aménagement participatif durable,
,,,,,,,
,,,,,,,
ai-76,49050,Brissac Loire Aubance,commune,AI,2024,Aménagement participatif durable,
ai-77,62080,Bapaume,commune,AI,2024,Accueil et intégration des réfugiés,
ai-78,92036,Gennevilliers,commune,AI,2024,Accueil et intégration des réfugiés,
ai-79,69250,La Tour-de-Salvagny,commune,AI,2024,Accueil et intégration des réfugiés,
ai-80,29195,Plouguerneau,commune,AI,2024,Droits culturels,
ai-81,77337,Noisiel,commune,AI,2024,Droits culturels,
ai-82,69264,Villefranche-sur-Saône,commune,AI,2024,Place des jeunes et des adolescents,
ai-83,38185,Grenoble,commune,AI,2024,,
ai-84,246300701,Clermont Auvergne Métropole,epci,AI,2024,,
ai-85,95607,Taverny,commune,AI,2024,,
ai-86,77152,Dammarie-les-Lys,commune,AI,2024,,
ai-87,253401715,SM Filière Viande de l'Hérault,epci,AI,2024,,
ai-89,84031,Carpentras,commune,AI,2024,,
ai-90,95127,Cergy,commune,AI,2024,,
ai-91,92026,Courbevoie,commune,AI,2024,,
ai-92,83121,Salernes,commune,AI,2024,,
ai-93,68376,Wittenheim,commune,AI,2024,,
,,,,,,,
ai-95,60395,Méru,commune,AI,2024,,
ai-96,3310,Vichy,commune,AI,2024,,
ai-98,200073401,CC Mézenc-Loire-Meygal,epci,AI,2024,,
ai-99,241900133,CC de Ventadour - Egletons - Monédières,epci,AI,2024,,
ai-100,200018166,CC Le Grésivaudan,epci,AI,2024,,
ai-101,246400337,CC de la Vallée d'Ossau,epci,AI,2024,,
,,,,,,,
ai-104,74282,Fillière,commune,AI,2024,,
ai-105,200040715,Grenoble-Alpes-Métropole,epci,AI,2024,,
ai-106,200030195,Métropole Nice Côte d'Azur,epci,AI,2024,,
ai-107,200068096,CC Champsaur-Valgaudemar,epci,AI,2024,,
ai-108,200051738,PETR Pays de Remiremont et de ses vallées,epci,AI,2024,,
ai-109,200052801,"PETR du Briançonnais, des Ecrins, du Guillestrois et du Queyras",epci,AI,2024,,
ai-110,253901664,SM du Parc naturel régional du Haut-Jura,epci,AI,2024,,
ai-111,#Invalid Ref: Préfecture 74,Préfecture 74,#Invalid Ref: Préfecture 74,AI,2024,,
ai-112,200068047,CA Creil Sud Oise,epci,AI,2024,,
ai-113,64102,Bayonne,commune,AI,2024,,
ai-114,200034957,CC du Frontonnais,epci,AI,2024,,
ai-116,69272,Communay,commune,AI,2024,,
ai-117,56069,Groix,commune,AI,2024,,
ai-119,19062,Corrèze,commune,AI,2024,,
ai-121,254200363,SM de gestion et réalisation Parc naturel régional du Pilat,epci,AI,2024,,
ai-122,48194,Vialas,commune,AI,2024,,
ai-123,243300316,Bordeaux Métropole,epci,AI,2024,,
ai-127,40288,Sarbazan,commune,AI,2024,,
ai-130,253306526,"SI pour la restauration collective entre les villes de Cenon, Floirac et Ambarès-et-Lagrave (SIREC)",epci,AI,2024,,
ai-131,89063,La Celle-Saint-Cyr,commune,AI,2024,,
ai-132,74276,Taninges,commune,AI,2024,,
ai-133,48140,Saint-Chély-d'Apcher,commune,AI,2024,,
ai-134,200017127,Syndicat de développement local du Pays Coeur d'Hérault ou ''SYDEL du Pays Coeur d'Hérault'',epci,AI,2024,,
ai-136,#Invalid Ref: SMICVAL,SMICVAL,#Invalid Ref: SMICVAL,AI,2024,,
ai-137,200077881,Syndicat du bassin de l'Oudon,epci,AI,2024,,
ai-138,#Invalid Ref: Terres d'Argentan Interco,Terres d'Argentan Interco,#Invalid Ref: Terres d'Argentan Interco,AI,2024,,
ai-140,58071,Chevannes-Changy,commune,AI,2024,,
ai-142,78623,Le Tremblay-sur-Mauldre,commune,AI,2024,,
,,,,,,,
ai-146,258402346,SM du parc naturel régional du Lubéron,epci,AI,2024,,
ai-147,67461,Schwobsheim,commune,AI,2024,,
ai-148,253804835,SM des Rives du Rhône,epci,AI,2024,,
ai-149,88464,Tendon,commune,AI,2024,,
ai-150,246700488,Eurométropole de Strasbourg,epci,AI,2024,,
ai-151,33249,Lormont,commune,AI,2024,,
ai-152,200070092,CA du Libournais,epci,AI,2024,,
ai-155,240800862,CC des Crêtes Préardennaises,epci,AI,2024,,
ai-157,#Invalid Ref: DDETS Pyrénées atlantiques,DDETS Pyrénées atlantiques,#Invalid Ref: DDETS Pyrénées atlantiques,AI,2024,,
ai-159,200068674,CA Grand Lac,epci,AI,2024,,
ai-162,200096675,CC Baud Communauté,epci,AI,2024,,
ai-163,92049,Montrouge,commune,AI,2024,,
ai-166,200069250,CA Troyes Champagne Métropole,epci,AI,2024,,
ai-176,240700864,CC du Rhône aux Gorges de l'Ardèche,epci,AI,2024,,
ai-185,242900553,CC du Pays des Abers,epci,AI,2024,,
ai-192,200070761,CC Ambert Livradois Forez,epci,AI,2024,,
ai-193,200069094,CC Isle et Crempse en Périgord,epci,AI,2024,,
ai-194,200071496,CC du Bocage Bourbonnais,epci,AI,2024,,
ai-199,200068997,CA Arlysère,epci,AI,2024,,
ai-200,200010775,SM des Monts de la Madeleine,epci,AI,2024,,
ai-201,70554,Villars-le-Pautel,commune,AI,2024,,
ai-205,17197,Jonzac,commune,AI,2024,,
,,,,,,,
,,,,,,,
ai-211,200010700,CA Caux Seine Agglo,epci,AI,2024,,
,,,,,,,
ai-219,17300,La Rochelle,commune,AI,2024,,
ai-222,50353,Le Mont-Saint-Michel,commune,AI,2024,,
ai-223,62160,Boulogne-sur-Mer,commune,AI,2024,,
ai-224,247200447,CC Orée de Bercé - Belinois,epci,AI,2024,,
ai-233,#Invalid Ref: DDT39,DDT39,#Invalid Ref: DDT39,AI,2024,,
ai-237,78440,Les Mureaux,commune,AI,2024,,
ai-240,2A247,Porto-Vecchio,commune,AI,2024,,
ai-241,#Invalid Ref: Pays et quartiers Nouvelle Aquitaine,Pays et quartiers Nouvelle Aquitaine,#Invalid Ref: Pays et quartiers Nouvelle Aquitaine,AI,2024,,
ai-242,10343,Saint-Julien-les-Villas,commune,AI,2024,,
ai-244,95219,Ermont,commune,AI,2024,,
ai-245,69123,Lyon,commune,AI,2024,,
ai-249,57463,Metz,commune,AI,2024,,
ai-259,200023299,CC Coeur de Tarentaise,epci,AI,2024,,
ai-261,200051548,PETR Nivernais Morvan,epci,AI,2024,,
,,,,,,,
ai-269,#Invalid Ref: CA Coeur de Flandre,CA Coeur de Flandre,#Invalid Ref: CA Coeur de Flandre,AI,2024,,
ai-277,200093201,Métropole Européenne de Lille,epci,AI,2024,,
